,oid,classALeRCE,period,source,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
20,ZTF19abljqsb,RRL,0.50223,GAIADR2VS,60,60,0.2020113468170166,0.19601106643676758,0.5022452763783323,0.5022452763783323,60,60,0.1390080451965332,0.1410081386566162,90.13946165548423,0.5022191010612467,60,60,0.18101048469543457,0.1760098934173584,0.5022452763783323,0.5022452763783323,60,60,1.1500658988952637,1.1370649337768555,0.5022191010612467,0.5022452763783323,60,60,1.1520657539367676,1.1350650787353516,0.5022452763783323,0.5022452763783323,60,60,1.1610665321350098,1.1260643005371094,0.5022452763783323,0.5022452763783323
21,ZTF18aabpzhx,RRL,0.560438,LINEAR,60,60,0.20501208305358887,0.19301104545593262,0.5604216522288066,0.56043632801315,60,60,0.13800811767578125,0.14000821113586426,0.56043632801315,0.5603924403894399,60,60,0.17900991439819336,0.18101048469543457,0.56043632801315,0.56043632801315,60,60,1.1390652656555176,1.1370651721954346,0.5604508671138104,0.56043632801315,60,60,1.1400649547576904,1.1320648193359375,0.5604508671138104,0.56043632801315,60,60,1.1520659923553467,1.1300644874572754,0.5604508671138104,0.56043632801315
22,ZTF18acslrdt,RRL,0.369545,CRTSnorth,60,60,0.20601177215576172,0.19501113891601562,0.22677119830284775,0.3695397379219623,60,60,0.1410079002380371,0.1370079517364502,0.226777081307061,0.3695397379219623,60,60,0.18001031875610352,0.17701029777526855,0.22678890385481573,0.22678890385481573,60,60,1.1350648403167725,1.1300649642944336,0.15588353910513625,0.15589166195546822,60,60,1.1310644149780273,1.1210641860961914,0.226777081307061,0.15588758734297248,60,60,1.1230642795562744,1.1300644874572754,0.226777081307061,0.15588758734297248
23,ZTF18aabppyb,RRL,0.591729,LINEAR,60,60,0.19701147079467773,0.20101141929626465,0.5917355507760683,1.1834519728875514,60,60,0.13800811767578125,0.1390080451965332,0.5917047099226647,2.910303568755181,60,60,0.18601059913635254,0.17701005935668945,0.5917355507760683,3.199438999915813,60,60,1.1360647678375244,1.1240642070770264,0.5917355507760683,0.5917355507760683,60,60,1.1350648403167725,1.1200640201568604,0.5917355507760683,0.5917355507760683,60,60,1.1340649127960205,1.2770729064941406,0.5917355507760683,0.5917355507760683
24,ZTF18abmrfjh,RRL,0.2984877,ASASSN,60,60,0.25701475143432617,0.4110236167907715,0.29848286391993434,0.29848286391993434,60,60,0.3630208969116211,0.33101868629455566,0.29848286391993434,0.2984984230760651,60,60,0.42702436447143555,0.46402645111083984,0.29848286391993434,0.29848286391993434,60,60,2.3271327018737793,2.4361391067504883,0.29848286391993434,0.29848286391993434,60,60,2.1321218013763428,2.5521461963653564,0.29848286391993434,0.29848286391993434,60,60,2.5821478366851807,2.4531402587890625,0.29848286391993434,0.29848286391993434
25,ZTF17aaagrhs,RRL,0.5708433,ASASSN,60,60,0.4130237102508545,0.40702319145202637,0.5708743481999785,0.5708743481999785,60,60,0.2890167236328125,0.36002063751220703,0.5708445868625248,1.1417599824459517,60,60,0.474027156829834,0.43802523612976074,0.5708743481999785,0.5708743481999785,60,60,2.2961313724517822,1.7380995750427246,0.5708445868625248,0.5708743481999785,60,60,2.006114959716797,2.271129846572876,0.5708445868625248,0.5708743481999785,60,60,2.747157335281372,2.5791475772857666,0.5708445868625248,0.5708743481999785
26,ZTF18aayzdgv,RRL,0.54194,LINEAR,60,60,0.5120294094085693,0.5050292015075684,0.5419483058587501,0.5419483058587501,60,60,0.34001946449279785,0.32001829147338867,0.5419483058587501,0.5419200525198778,60,60,0.39702272415161133,0.36602091789245605,0.5419200525198778,0.5419483058587501,60,60,2.136122226715088,1.8941082954406738,0.5419483058587501,0.5419200525198778,60,60,1.440082311630249,1.2290701866149902,0.5419483058587501,0.5419200525198778,60,60,1.1360650062561035,1.2390706539154053,0.5419483058587501,0.5419200525198778
27,ZTF17aaapnoo,RRL,0.5329149999999999,LINEAR,60,60,0.19501113891601562,0.20301175117492676,0.5329273679549916,1.0659208297141036,60,60,0.14000797271728516,0.14500832557678223,1.0658376126063724,1.144620593095223,60,60,0.18001031875610352,0.18101048469543457,0.5329273679549916,0.5329551553520894,60,60,1.0970628261566162,1.2590720653533936,0.5329551553520894,0.5329690467137449,60,60,1.1000630855560303,1.1250643730163574,0.5329273679549916,0.5329273679549916,60,60,1.0940625667572021,1.1260645389556885,0.5329273679549916,0.5329551553520894
28,ZTF18adaljtj,RRL,0.6379876,GAIADR2VS,60,60,0.1980113983154297,0.19901132583618164,1.7463452074600216,1.2695380461750587,60,60,0.14000773429870605,0.13800787925720215,0.6347793038421362,0.6347793038421362,60,60,0.18201041221618652,0.19201087951660156,0.6347462230259733,0.6348123881065983,60,60,1.1280646324157715,1.4170811176300049,0.6347793038421362,0.6347793038421362,60,60,1.1390652656555176,1.3980798721313477,0.6347793038421362,0.6347793038421362,60,60,1.1270644664764404,1.3910794258117676,0.6347793038421362,0.6347793038421362
29,ZTF18aagrdpq,RRL,0.34093,ASASSN,60,60,0.20501184463500977,0.2000112533569336,1.3633067755881823,0.2835213846215916,60,60,0.14500832557678223,0.14000797271728516,21.282490241452347,1.0341215504963077,60,60,0.18301033973693848,0.17701029777526855,0.6602089894693391,0.5177838551777567,60,60,1.1300644874572754,1.1210641860961914,0.34082883655932117,0.17040831018029445,60,60,1.1300647258758545,1.1280646324157715,0.17040831018029445,0.17040831018029445,60,60,1.1320648193359375,1.1290643215179443,0.17040831018029445,0.17040831018029445
